93;Отжимания трицепсами спиной к скамье;1
94;Отжимания от пола;1
95;Отжимания на брусьях;1
96;Отжимания на брусьях для девушек;1
97;Вертикальное отжимание на тренажере;1
98;Отжимания трицепсами спиной к скамье;1
99;Отжимания от полаОтжимания на брусьях;1
100;Отжимания на брусьях для девушек;1
101;Вертикальное отжимание на тренажере;1
102;Жим лежа;1
103;Жим лежа узким хватом;1
104;Жим лежа узким хватом;1
105;Отжимания;1
106;Отжимания трицепсами спиной к скамье;1
107;Отжимания на брусьях;1
108;Вертикальное отжимание на тренажере;1
109;Жим лежа;1
110;Жим лежа узким хватом;1
111;Французский жим гантелей лежа;1
112;Французский жим со штангой лежа;1
113;Французский жим сидя с гантелью;1
114;Французский жим сидя с двумя гантелями;1
115;Разгибание одной руки с гантелью из-за головы;1
116;Разгибание рук с гантелями лежа;1
117;Разгибание рук в наклоне;1
118;Разгибание руки на трицепс за головой с использованием резинового эспандера;1
119;Разгибание рук с изогнутым грифом штанги из-за головы;1
120;Французский жим;1
121;Французский жим гантелей лежа;1
122;Французский жим со штангой лежа;1
123;Французский жим сидя с гантелью;1
124;Французский жим сидя с двумя гантелями;1
125;Разгибание одной руки с гантелью из-за головы;1
126;Разгибание рук с гантелями лежа;1
127;Разгибание рук в наклоне;1
128;Разгибание руки на трицепс за головой с использованием резинового эспандера;1
129;Разгибание рук с изогнутым грифом штанги из-за головы;1
130;Разгибание рук на тренажереРазгибание рук на верхнем блоке стоя;1
131;Разгибание рук с рукояткой верхнего блока хватом снизу;1
132;Разгибания рук на нижнем блоке;1
133;Разгибание одной руки на нижнем блоке;1
134;Разгибание рук на трицепс с использованием канатной рукояти;1
135;Разгибание рук на тренажере;1
136;Разгибание рук на верхнем блоке стоя;1
137;Разгибание рук на верхнем блоке стоя хватом снизу;1
138;Разгибания рук на нижнем блоке;1
139;Разгибание одной руки на нижнем блоке;1
140;Разгибание рук на трицепс с использованием канатной рукояти;1
141;Разгибание одной руки с гантелью из-за головы;1
142;Французский жим с опусканием грифа за голову;1
143;Разгибания рук на нижнем блоке;1
144;Разгибание одной руки с гантелью из-за головы;1
145;Французский жим;1
146;Разгибания рук на нижнем блоке;1
147;разгибание рук на трицепс с использованием канатной рукояти;1
148;Разгибание рук с рукояткой верхнего блока хватом снизу;1
149;Разгибание рук на трицепс с использованием канатной рукояти;1
150;Разгибание рук на верхнем блоке стоя;1
151;Отжимания;1
152;Отжимания трицепсами спиной к скамье;1
153;Отжимания от пола;1
154;Отжимания на брусьях;1
155;Отжимания на брусьях для девушек;1
156;Отжимания трицепсами спиной к скамье;1
157;Отжимания от пола;1
158;Отжимания на брусьях;1
159;Отжимания на брусьях для девушек;1
160;Отжимания;1
161;Отжимания трицепсами спиной к скамье;1
162;Отжимания на брусьях;1
163;Жим лежа;1
164;Жим лежа узким хватом;1
165;Жим лежа узким хватом;1
166;Французский жим;1
167;Французский жим гантелей лежа;1
168;Французский жим со штангой лежа;1
169;Французский жим сидя с гантелью;1
170;Французский жим сидя с двумя гантелями;1
171;Французский жим гантелей лежа;1
172;Французский жим со штангой лежа;1
173;Французский жим сидя с гантелью;1
174;Французский жим сидя с двумя гантелями;1
175;Разгибание одной руки с гантелью из-за головы;1
176;Разгибание рук с гантелями лежа;1
177;Разгибание рук в наклоне;1
178;Разгибание руки на трицепс за головой с использованием резинового эспандера;1
179;Разгибание рук с изогнутым грифом штанги из-за головы;1
180;Жим лежа;1
181;Жим лежа узким хватом;1
182;Французский жим;1
183;Французский жим гантелей лежа;1
184;Французский жим со штангой лежа;1
185;Французский жим сидя с гантелью;1
186;Французский жим сидя с двумя гантелями;1
187;Разгибание одной руки с гантелью из-за головы;1
188;Разгибание рук с гантелями лежа;1
189;Разгибание рук в наклоне;1
190;Разгибание руки на трицепс за головой с использованием резинового эспандера;1
191;Разгибание рук с изогнутым грифом штанги из-за головы;1
192;Разгибание рук на тренажере;1
193;Разгибание рук на верхнем блоке стоя;1
194;Разгибание рук с рукояткой верхнего блока хватом снизу;1
195;Разгибания рук на нижнем блоке;1
196;Разгибание одной руки на нижнем блоке;1
197;Разгибание рук на трицепс с использованием канатной рукояти;1
198;Отжимания на гребном тренажере;1
199;Разгибание рук на тренажере;1
200;Разгибание рук на верхнем блоке стоя;1
201;Разгибание рук на верхнем блоке стоя хватом снизу;1
202;Разгибания рук на нижнем блоке;1
203;Разгибание одной руки на нижнем блоке;1
204;Разгибание рук на трицепс с использованием канатной рукояти;1
205;Французский жим;1
206;Отжимания на брусьях;1
207;Жим лежа узким хватом;1
208;Отжимания от пола;1
209;Отжимания в тренажере;1